order,pollutant,station,timing,type,value
91.0,NO2,all,years,air,16.223301276595734
92.0,NO2,all,years,air,17.88036962025314
93.0,NO2,all,years,air,18.183579331941544
94.0,NO2,all,years,air,18.761191041666663
95.0,NO2,all,years,air,15.661493749999984
96.0,NO2,all,years,air,13.704393541666681
97.0,NO2,all,years,air,14.38101229166667
98.0,NO2,all,years,air,14.492383125
99.0,NO2,all,years,air,18.360457291666656
100.0,NO2,all,years,air,16.852267083333334
101.0,NO2,all,years,air,17.172909166666656
102.0,NO2,all,years,air,18.41047246049661
103.0,NO2,all,years,air,12.061826893939363
104.0,NO2,all,years,air,18.216213953488356
105.0,NO2,all,years,air,16.023109583333312
106.0,NO2,all,years,air,19.24298729166668
107.0,NO2,all,years,air,19.840792916666658
108.0,NO2,all,years,air,16.03023729166668
109.0,NO2,all,years,air,18.816418541666653
110.0,NO2,all,years,air,16.59458854166667
111.0,NO2,all,years,air,17.47494458333333
112.0,NO2,all,years,air,14.974667295597474
113.0,NO2,all,years,air,16.277715531914883
114.0,NO2,all,years,air,11.904043589743557
115.0,NO2,all,years,air,11.810599999999983
116.0,NO2,all,years,air,9.541226956521726
117.0,NO2,all,years,air,6.7834299559471285
118.0,NO2,all,years,air,13.80413799126636
119.0,NO2,all,years,air,9.516143644067789
120.0,NO2,all,years,air,15.07814890109888
121.0,NO2,all,years,air,14.799596645702298
122.0,NO2,all,years,air,18.57374157782518
123.0,NO2,all,years,air,0.0
124.0,NO2,all,years,air,18.259192916666677
125.0,NO2,all,years,air,14.415441224489786
126.0,NO2,all,years,air,14.44485979166667
127.0,NO2,all,years,air,15.817130624999992
128.0,NO2,all,years,air,17.406312916666668
129.0,NO2,all,years,air,13.824708750000005
130.0,NO2,all,years,air,12.958492916666682
131.0,NO2,all,years,air,15.596813124999994
132.0,NO2,all,years,air,13.74808875
133.0,NO2,all,years,air,14.752790208333312
134.0,NO2,all,years,air,16.853652916666665
135.0,NO2,all,years,air,16.710677500000006
136.0,NO2,all,years,air,14.079088750000007
137.0,NO2,all,years,air,12.024480608364998
138.0,NO2,all,years,air,19.071835433070856
139.0,NO2,all,years,air,17.18237437499997
140.0,NO2,all,years,air,21.862227083333323
141.0,NO2,all,years,air,20.963670833333317
142.0,NO2,all,years,air,16.60434771428571
143.0,NO2,all,years,air,11.69632833333331
144.0,NO2,all,years,air,9.72531041666665
145.0,NO2,all,years,air,16.096985833333296
146.0,NO2,all,years,air,20.535064583333316
147.0,NO2,all,years,air,16.256551666666645
148.0,NO2,all,years,air,18.069592083333305
149.0,NO2,all,years,air,15.70192166666664
